Date;Country;CPI
1.1.12;Austria;-0.48
1.2.12;Austria;0.48
1.3.12;Austria;1.05
1.4.12;Austria;0.38
1.5.12;Austria;-0.09
1.6.12;Austria;0.09
1.7.12;Austria;-0.28
1.8.12;Austria;0.28
1.9.12;Austria;0.85
1.10.12;Austria;0.19
1.11.12;Austria;0.09
1.12.12;Austria;0.19
1.1.13;Austria;-0.56
1.2.13;Austria;0.28
1.3.13;Austria;0.84
1.4.13;Austria;0.09
1.5.13;Austria;0.19
1.6.13;Austria;0.00
1.7.13;Austria;-0.46
1.8.13;Austria;0.09
1.9.13;Austria;0.74
1.10.13;Austria;-0.09
1.11.13;Austria;0.09
1.12.13;Austria;0.65
1.1.14;Austria;-0.82
1.2.14;Austria;0.18
1.3.14;Austria;1.01
1.4.14;Austria;0.09
1.5.14;Austria;0.27
1.6.14;Austria;0.09
1.7.14;Austria;-0.54
1.8.14;Austria;0.00
1.9.14;Austria;0.64
1.10.14;Austria;-0.09
1.11.14;Austria;0.18
1.12.14;Austria;0.00
1.1.15;Austria;-1.09
1.2.15;Austria;0.30
1.3.15;Austria;1.11
1.4.15;Austria;0.20
1.5.15;Austria;0.20
1.6.15;Austria;0.10
1.7.15;Austria;-0.40
1.8.15;Austria;-0.20
1.9.15;Austria;0.40
1.10.15;Austria;-0.10
1.11.15;Austria;0.10
1.12.15;Austria;0.40
1.1.16;Austria;-0.89
1.2.16;Austria;0.10
1.3.16;Austria;0.80
1.4.16;Austria;0.00
1.5.16;Austria;0.30
1.6.16;Austria;0.10
1.7.16;Austria;-0.40
1.8.16;Austria;-0.20
1.9.16;Austria;0.70
1.10.16;Austria;0.30
1.11.16;Austria;0.10
1.12.16;Austria;0.49
1.1.17;Austria;-0.29
1.2.17;Austria;0.29
1.3.17;Austria;0.49
1.4.17;Austria;0.19
1.5.17;Austria;0.10
1.6.17;Austria;0.10
1.7.17;Austria;-0.29
1.8.17;Austria;-0.10
1.9.17;Austria;0.97
1.10.17;Austria;0.10
1.11.17;Austria;0.19
1.12.17;Austria;0.38
1.1.18;Austria;-0.67
1.2.18;Austria;0.29
1.3.18;Austria;0.58
1.4.18;Austria;0.19
1.5.18;Austria;0.19
1.6.18;Austria;0.19
1.7.18;Austria;-0.19
1.8.18;Austria;0.00
1.9.18;Austria;0.76
1.10.18;Austria;0.28
1.11.18;Austria;0.19
1.12.18;Austria;0.09
1.1.19;Austria;-0.75
1.2.19;Austria;0.00
1.3.19;Austria;0.85
1.4.19;Austria;0.09
1.5.19;Austria;0.19
1.6.19;Austria;0.09
1.7.19;Austria;-0.37
1.8.19;Austria;0.09
1.9.19;Austria;0.47
1.10.19;Austria;0.19
1.11.19;Austria;0.19
1.12.19;Austria;0.65
1.1.20;Austria;-0.46
1.2.20;Austria;0.10
1.3.20;Austria;0.30
1.4.20;Austria;0.00
1.5.20;Austria;-0.60
1.6.20;Austria;0.50
1.7.20;Austria;0.20
1.8.20;Austria;-0.20
1.9.20;Austria;0.40
1.10.20;Austria;0.20
1.11.20;Austria;0.10
1.12.20;Austria;0.60
1.1.21;Austria;-0.79
1.2.21;Austria;0.50
1.3.21;Austria;1.09
1.4.21;Austria;-0.10
1.5.21;Austria;0.29
1.6.21;Austria;0.49
1.7.21;Austria;0.29
1.8.21;Austria;0.10
1.9.21;Austria;0.49
1.10.21;Austria;0.58
1.11.21;Austria;0.67
1.12.21;Austria;0.57
1.1.22;Austria;-0.09
1.2.22;Austria;1.23
1.3.22;Austria;2.06
1.4.22;Austria;0.28
1.5.22;Austria;0.82
1.6.22;Austria;1.36
1.7.22;Austria;0.99
1.8.22;Austria;0.00
1.9.22;Austria;1.69
1.10.22;Austria;0.96
1.11.22;Austria;0.26
1.12.22;Austria;0.17
1.1.23;Austria;0.86
1.2.23;Austria;0.94
1.3.23;Austria;0.51
1.4.23;Austria;0.67
1.5.23;Austria;0.17
1.6.23;Austria;0.50
